Frame,pitch_001_X,pitch_001_Y,pitch_001_Z,pitch_002_X,pitch_002_Y,pitch_002_Z,pitch_003_X,pitch_003_Y,pitch_003_Z,right_001_X,right_001_Y,right_001_Z,right_002_X,right_002_Y,right_002_Z,right_003_X,right_003_Y,right_003_Z,right_004_X,right_004_Y,right_004_Z,right_005_X,right_005_Y,right_005_Z,right_006_X,right_006_Y,right_006_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_pitch_001_X,zed_pitch_001_Y,zed_pitch_001_Z,zed_pitch_002_X,zed_pitch_002_Y,zed_pitch_002_Z,zed_pitch_003_X,zed_pitch_003_Y,zed_pitch_003_Z,zed_pitch_004_X,zed_pitch_004_Y,zed_pitch_004_Z
0,3572.990479,1497.514404,355.280182,3573.610352,1305.026611,340.731781,3566.095215,1077.379395,371.930878,3164.42334,1455.210938,124.045601,3116.001709,1460.887695,221.979401,3145.805664,1492.179932,192.235367,3141.357666,1486.686768,148.769348,3094.013184,1460.720093,179.238708,3117.694092,1497.388428,181.370697,3871.709473,1661.68103,21.506844,3789.346436,1644.530396,-66.430969,3818.033447,1560.741089,-68.804527,3834.7854,1329.254517,137.611298,3758.462402,1324.276733,182.836258,3765.874023,1331.393799,35.072529,3811.605713,1310.206299,-11.605399
1,3572.97583,1497.522827,355.293335,3573.595703,1305.036255,340.734833,3566.075928,1077.37146,371.941437,3164.403809,1455.195312,124.100479,3116.000977,1460.855469,221.985428,3145.813965,1492.184326,192.227966,3141.351318,1486.687622,148.772522,3094.025635,1460.764771,179.287308,3117.672852,1497.40625,181.39978,3871.688232,1661.672974,21.512915,3789.324951,1644.536865,-66.426476,3817.996826,1560.726196,-68.778831,3834.769775,1329.243652,137.605087,3758.381104,1324.197754,182.865936,3765.862061,1331.392212,35.074062,3811.57959,1310.206299,-11.536621
2,3572.973389,1497.52124,355.296417,3573.580322,1305.033936,340.759338,3566.088379,1077.394653,371.933868,3164.390625,1455.203735,124.117653,3116.000977,1460.84436,222.004288,3145.805176,1492.175537,192.244064,3141.342285,1486.700562,148.781158,3094.022217,1460.768066,179.287369,3117.655762,1497.418945,181.416458,3871.671875,1661.678833,21.522285,3789.318604,1644.54126,-66.445877,3818.003662,1560.742188,-68.794037,3834.739258,1329.240601,137.607391,3758.349365,1324.162231,182.874878,3765.84375,1331.403687,35.075897,3811.565186,1310.202393,-11.555446
3,3573.011963,1497.516235,355.337891,3573.578857,1305.046021,340.782867,3566.244873,1077.536987,371.983795,3164.388672,1455.21936,124.082703,3115.999268,1460.842407,221.987885,3145.788086,1492.182861,192.252304,3141.333984,1486.69812,148.767212,3094.001221,1460.785889,179.317932,3117.626465,1497.446777,181.428162,3871.671875,1661.710693,21.526966,3789.323975,1644.575684,-66.441643,3817.99292,1560.767822,-68.787575,3834.700195,1329.241577,137.622452,3758.420898,1324.255493,182.859726,3765.842773,1331.39624,35.086704,3811.544922,1310.203735,-11.521429
4,3573.010498,1497.519287,355.350891,3573.576416,1305.066406,340.802185,3566.334717,1077.596436,371.991974,3164.370117,1455.196411,124.108231,3116.012695,1460.827759,221.979019,3145.763428,1492.212646,192.269592,3141.308105,1486.703369,148.773361,3093.992676,1460.782593,179.299713,3117.615479,1497.486084,181.409958,3871.557373,1661.813599,21.565277,3789.321533,1644.588257,-66.44754,3817.979736,1560.782837,-68.772774,3834.667969,1329.235474,137.638779,3758.459229,1324.273804,182.850464,3765.831299,1331.427002,35.08654,3811.526367,1310.212402,-11.460347
5,3572.954102,1497.545776,355.321655,3573.533203,1305.088867,340.843414,3566.334473,1077.589111,371.989227,3164.345215,1455.211426,124.119438,3116.01416,1460.828247,222.000916,3145.736328,1492.229004,192.305038,3141.301758,1486.691528,148.756348,3093.96582,1460.790894,179.310165,3117.599365,1497.528931,181.432312,3871.53833,1661.873535,21.532833,3789.297852,1644.604004,-66.431923,3817.954102,1560.817749,-68.778168,3834.63623,1329.230103,137.660965,3758.541504,1324.275635,182.670273,3765.813232,1331.449585,35.081749,3811.491943,1310.240967,-11.421556
6,3572.904541,1497.617065,355.377441,3573.518555,1305.117798,340.891479,3566.328857,1077.575684,371.986786,3164.336426,1455.210815,124.154427,3115.95752,1460.814209,222.076004,3145.725586,1492.260986,192.332657,3141.265381,1486.707764,148.759125,3093.953125,1460.828125,179.327042,3117.561768,1497.564331,181.464005,3871.548584,1661.907349,21.524035,3789.294189,1644.629883,-66.425354,3817.922852,1560.846313,-68.748734,3834.590332,1329.203247,137.708099,3758.506592,1324.295898,182.819534,3765.797119,1331.482056,35.089916,3811.486328,1310.239624,-11.36067
7,3572.94751,1497.60437,355.352692,3573.509766,1305.142334,340.922852,3566.311279,1077.560425,371.986267,3164.345215,1455.20813,124.148003,3115.967529,1460.832397,222.075272,3145.683105,1492.324219,192.3638,3141.295898,1486.536621,148.840332,3093.925781,1460.840088,179.322678,3117.537354,1497.619995,181.536713,3871.552002,1661.954102,21.500206,3789.290039,1644.659668,-66.422394,3817.946777,1560.860352,-68.780525,3834.55957,1329.234009,137.71022,3758.483887,1324.307373,182.864319,3765.88501,1331.55835,35.025261,3811.45459,1310.253418,-11.335958
8,3572.961426,1497.623535,355.422699,3573.500488,1305.176392,340.957733,3566.310303,1077.563232,371.999756,3164.320801,1455.20874,124.147972,3115.974609,1460.832642,222.071869,3145.638916,1492.36853,192.420074,3141.235352,1486.691284,148.770218,3093.906494,1460.859375,179.331619,3117.543213,1497.665527,181.559708,3871.549805,1661.993042,21.494682,3789.283203,1644.676147,-66.416008,3817.920166,1560.915405,-68.735924,3834.539551,1329.208862,137.764908,3758.485352,1324.311523,182.860397,3765.806885,1331.558228,35.071777,3811.445068,1310.259155,-11.284562
9,3572.912842,1497.661377,355.398224,3573.47583,1305.210938,340.988373,3566.310547,1077.558716,372.010345,3164.321533,1455.198364,124.155144,3115.770264,1460.866943,222.267349,3145.639648,1492.395142,192.435944,3141.226562,1486.713745,148.753784,3093.904785,1460.876343,179.319748,3117.543945,1497.704956,181.559235,3871.558594,1662.001465,21.479677,3789.279297,1644.693237,-66.415733,3817.886963,1560.966553,-68.722252,3834.518555,1329.211914,137.796295,3758.497803,1324.328979,182.853439,3765.78833,1331.571655,35.068398,3811.433838,1310.277588,-11.226702
