Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
0,3540.356445,1053.250854,-254.574326,3561.284912,1032.541382,-199.258072,3468.429932,1056.657837,-130.985977,3587.5,1052.736084,-69.954613,3520.4375,1041.667725,-151.546158,3537.08374,1038.376831,-288.766602,3813.066162,1665.980957,230.310944,3899.040039,1640.252075,148.026566,3895.344482,1557.151367,178.747162,3701.130615,1341.396973,198.501923,3659.873291,1323.115356,121.151108,3804.716064,1339.657471,132.809509
1,3540.350098,1053.296997,-254.598526,3561.286377,1032.532227,-199.252426,3468.526611,1056.657715,-130.878738,3587.489258,1052.709961,-69.929047,3520.481689,1041.678467,-151.498795,3537.105957,1038.382446,-288.74884,3813.080566,1665.992554,230.324478,3899.027832,1640.256836,148.029022,3895.333252,1557.161743,178.793564,3701.132812,1341.425903,198.546005,3659.895752,1323.123657,121.156525,3804.708984,1339.651611,132.824448
2,3540.346191,1053.305908,-254.605148,3561.290283,1032.5448,-199.194473,3468.659424,1056.68335,-130.722488,3587.4729,1052.712769,-69.923386,3520.499756,1041.695312,-151.467682,3537.098389,1038.414062,-288.766388,3813.075684,1665.984497,230.345718,3899.033936,1640.260498,148.04213,3895.387451,1557.215088,178.734711,3701.049805,1341.414917,198.578217,3659.904541,1323.148438,121.187233,3804.718262,1339.672485,132.825516
3,3540.346924,1053.345581,-254.614944,3561.27832,1032.538818,-199.191971,3468.729492,1056.729858,-130.619888,3587.459473,1052.71582,-69.909576,3520.541992,1041.705444,-151.435211,3537.090332,1038.432861,-288.754395,3813.076172,1665.992188,230.373062,3899.02124,1640.266479,148.037079,3895.325928,1557.231323,178.791885,3701.038818,1341.431763,198.548111,3659.919922,1323.169067,121.199234,3804.720703,1339.714966,132.837814
4,3540.343994,1053.370117,-254.62532,3561.278564,1032.595459,-199.237488,3468.761963,1056.791626,-130.563522,3587.446777,1052.713867,-69.894844,3520.575439,1041.738281,-151.389114,3537.069336,1038.435303,-288.744781,3813.068604,1665.996582,230.365784,3899.004395,1640.268188,148.059235,3895.305908,1557.254272,178.813721,3701.052734,1341.445923,198.555771,3659.945801,1323.196045,121.20578,3804.716309,1339.719116,132.837616
5,3540.331543,1053.392822,-254.629913,3561.250732,1032.617554,-199.231247,3468.546875,1056.907715,-130.757553,3587.450684,1052.713013,-69.923615,3520.61792,1041.74585,-151.335892,3537.074707,1038.44458,-288.743683,3813.065186,1666.031128,230.371384,3899.012451,1640.264404,148.060074,3895.253418,1557.195801,178.745621,3701.111328,1341.515137,198.508087,3659.960938,1323.202393,121.223228,3804.727783,1339.730103,132.826431
6,3540.3396,1053.403076,-254.642105,3561.243652,1032.611938,-199.219788,3468.442139,1057.067139,-130.917496,3587.458496,1052.703369,-69.900383,3520.646729,1041.754395,-151.337677,3537.077637,1038.460938,-288.730835,3813.041992,1666.012329,230.365524,3899.000977,1640.263428,148.063568,3895.243896,1557.184326,178.734131,3701.101074,1341.480103,198.608551,3659.953125,1323.224609,121.229645,3804.739746,1339.741821,132.813766
7,3540.351807,1053.416504,-254.618881,3561.250244,1032.642212,-199.202881,3468.444336,1057.165771,-131.025177,3587.463135,1052.710205,-69.916557,3521.050537,1041.525635,-150.870117,3537.092041,1038.454346,-288.731873,3813.07251,1666.029541,230.413696,3898.992188,1640.263306,148.075027,3895.293213,1557.282593,178.816437,3701.043213,1341.484131,198.551498,3659.964355,1323.236572,121.206024,3804.738281,1339.754761,132.832657
8,3540.340088,1053.402466,-254.628098,3561.248291,1032.625244,-199.1978,3468.40625,1057.214722,-131.07695,3587.45752,1052.716064,-69.919479,3521.230469,1041.650757,-150.694855,3537.091064,1038.453979,-288.729614,3813.05542,1666.023804,230.400406,3899.018311,1640.254883,148.07428,3895.321289,1557.311401,178.834045,3701.055908,1341.469849,198.633453,3659.974609,1323.234619,121.197929,3804.749756,1339.752808,132.819458
9,3540.369385,1053.387695,-254.60553,3561.23584,1032.63916,-199.192978,3468.408936,1057.222046,-131.059097,3587.476318,1052.691528,-69.906929,3521.1604,1041.655029,-150.716904,3537.093262,1038.44165,-288.72467,3813.063477,1666.013062,230.354233,3899.005615,1640.232178,148.042084,3895.316895,1557.303833,178.802765,3701.041748,1341.477905,198.656296,3659.964355,1323.23999,121.214073,3804.753174,1339.740356,132.818314
10,3540.341553,1053.36084,-254.617966,3561.212158,1032.65686,-199.238144,3468.393066,1057.241455,-131.058014,3587.501465,1052.692749,-69.913841,3521.015869,1041.565186,-150.808594,3537.109375,1038.422729,-288.732147,3813.052734,1666.012329,230.338928,3898.997559,1640.255005,148.046921,3895.325439,1557.293579,178.771027,3701.081543,1341.445435,198.662582,3659.960693,1323.227905,121.20256,3804.759766,1339.726929,132.804581
