Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
0,3530.409912,1070.117432,-227.185837,3562.870117,1053.346313,-181.029175,3469.932129,1063.044434,-107.048676,3537.454102,1040.474243,-289.49292,3586.202148,1053.746094,-69.641388,3521.575195,1043.625366,-151.930115,3812.890869,1668.500977,228.922409,3898.487305,1642.583984,146.47641,3894.856689,1559.521973,177.206604,3702.09668,1343.489014,196.877121,3660.119629,1325.895508,119.288727,3805.048096,1341.650513,132.242981
1,3530.407959,1070.176025,-227.11795,3562.856689,1053.348022,-180.925461,3469.809082,1063.076538,-106.984421,3537.462402,1040.496094,-289.481506,3586.16626,1053.756958,-69.652504,3521.542969,1043.619629,-151.861313,3812.88916,1668.526001,228.93103,3898.483398,1642.599243,146.489197,3894.861572,1559.517944,177.216934,3702.107666,1343.489258,196.901108,3660.105225,1325.899048,119.299385,3805.028564,1341.671021,132.255157
2,3530.418457,1070.176514,-227.017242,3562.894287,1053.441528,-180.707977,3469.243408,1062.970947,-107.104424,3537.479736,1040.498413,-289.45282,3586.16333,1053.754272,-69.626411,3521.522949,1043.610352,-151.853455,3812.864746,1668.550781,228.944962,3898.48291,1642.583496,146.493179,3894.750977,1559.44104,177.215256,3702.096191,1343.48938,196.9077,3660.097412,1325.91626,119.30484,3805.023438,1341.670532,132.273438
3,3530.442871,1070.253052,-226.970978,3562.856689,1053.426636,-180.657944,3469.281494,1063.124756,-106.622971,3537.511719,1040.50647,-289.450684,3586.158447,1053.768433,-69.649147,3521.532471,1043.670776,-151.870483,3812.842041,1668.561157,228.919464,3898.467773,1642.575684,146.499741,3894.823975,1559.513184,177.261093,3702.081787,1343.503174,196.920944,3660.084473,1325.950684,119.298035,3805.032715,1341.696411,132.272736
4,3530.451416,1070.293945,-226.914871,3562.855225,1053.423584,-180.571274,3469.215332,1063.172363,-106.545341,3537.523438,1040.502808,-289.431976,3586.154541,1053.759399,-69.662888,3521.530273,1043.641113,-151.856323,3812.84082,1668.593994,228.938416,3898.448242,1642.583984,146.514282,3894.70166,1559.464233,177.232819,3702.062988,1343.518555,196.943878,3660.070312,1325.959229,119.303101,3805.032227,1341.700806,132.267578
5,3530.477539,1070.326538,-226.866821,3562.839355,1053.418579,-180.524048,3469.104736,1063.221191,-106.478127,3537.521484,1040.521973,-289.43576,3586.167969,1053.788452,-69.664215,3521.494629,1043.630615,-151.822693,3812.814697,1668.615845,228.930618,3898.443359,1642.598389,146.516479,3894.694336,1559.451782,177.240067,3702.12207,1343.529785,196.981857,3660.047119,1325.989746,119.288132,3805.025635,1341.718018,132.267136
6,3530.451416,1070.386108,-226.832199,3562.828857,1053.439819,-180.466568,3469.057861,1063.305908,-106.390549,3537.515625,1040.534058,-289.448792,3586.166504,1053.814209,-69.669937,3521.519043,1043.692749,-151.82251,3812.808105,1668.636108,228.942978,3898.432861,1642.600342,146.515457,3894.57666,1559.421143,177.125977,3702.066895,1343.538086,196.962692,3660.074219,1326.018799,119.283211,3805.012207,1341.72644,132.253006
7,3530.470703,1070.470947,-226.775223,3562.793701,1053.442749,-180.426544,3468.971436,1063.378906,-106.331047,3537.519531,1040.545898,-289.453979,3586.161621,1053.797241,-69.672821,3521.515625,1043.686035,-151.82991,3812.811035,1668.631836,228.934189,3898.444824,1642.592651,146.522842,3894.646484,1559.468262,177.222778,3702.046631,1343.543091,196.967133,3660.085205,1326.02478,119.268105,3805.008789,1341.733765,132.259201
8,3530.53418,1070.546753,-226.768799,3562.787842,1053.445801,-180.360214,3468.933838,1063.434937,-106.297035,3537.535156,1040.556519,-289.455444,3586.105713,1053.75647,-69.562462,3521.509277,1043.709229,-151.826599,3812.824707,1668.630737,228.957184,3898.443359,1642.58667,146.525925,3894.652832,1559.468384,177.213669,3702.034912,1343.540649,196.952148,3660.08667,1326.025024,119.287308,3805.016113,1341.75647,132.230652
9,3530.555176,1070.639038,-226.752991,3562.778076,1053.44812,-180.291031,3468.966553,1063.494385,-106.297508,3537.546387,1040.565674,-289.459686,3586.120361,1053.757324,-69.574287,3521.512939,1043.700073,-151.830185,3812.821289,1668.614868,228.95546,3898.448975,1642.594849,146.524704,3894.57373,1559.435303,177.129715,3702.044922,1343.557495,196.948883,3660.090088,1326.016113,119.282814,3805.007812,1341.767456,132.226273
10,3530.546387,1070.685913,-226.687714,3562.764404,1053.489136,-180.229889,3468.85498,1063.615967,-106.100639,3537.46582,1040.588257,-289.521912,3586.147949,1053.773315,-69.604935,3521.435059,1043.699219,-151.923492,3812.84082,1668.597168,228.962341,3898.465332,1642.589844,146.520966,3894.571045,1559.43811,177.114151,3702.0354,1343.571533,196.932587,3660.099609,1326.020508,119.257011,3804.998291,1341.756592,132.222717
11,3530.570557,1070.752197,-226.657059,3562.762695,1053.49646,-180.208038,3468.819336,1063.65564,-106.053429,3537.4729,1040.602173,-289.527832,3586.165039,1053.750732,-69.605377,3521.458008,1043.69812,-151.903656,3812.864258,1668.569458,228.967255,3898.46582,1642.597534,146.531616,3894.687988,1559.482788,177.149445,3702.039795,1343.587891,196.940155,3660.112793,1326.023926,119.244576,3804.997803,1341.769897,132.192474
12,3530.739014,1070.971924,-226.523666,3562.739258,1053.511963,-180.167252,3468.803223,1063.709839,-105.999718,3537.476074,1040.606323,-289.51889,3586.197266,1053.763184,-69.647705,3521.456055,1043.68811,-151.957443,3812.857666,1668.553101,228.952576,3898.474121,1642.594116,146.507584,3894.81543,1559.546387,177.214691,3702.036377,1343.587036,196.906906,3660.138184,1326.025024,119.21283,3805.005615,1341.768799,132.191391
13,3530.795654,1071.149048,-226.453232,3562.737793,1053.544556,-180.088074,3468.788574,1063.782593,-105.93898,3537.38623,1040.604736,-289.592102,3586.209229,1053.768311,-69.645325,3521.423828,1043.659058,-152.03688,3812.872803,1668.551147,228.955017,3898.480957,1642.603149,146.490845,3894.745117,1559.513428,177.096329,3702.045654,1343.584595,196.904282,3660.144775,1325.987915,119.204102,3805.029785,1341.769165,132.155548
14,3530.826172,1071.239014,-226.397705,3562.733887,1053.561401,-180.040405,3468.742188,1063.875122,-105.851692,3537.435547,1040.581299,-289.544281,3586.302002,1053.805298,-69.82769,3521.441162,1043.643066,-152.078705,3812.886963,1668.530029,228.922348,3898.504883,1642.618408,146.486542,3894.727783,1559.507202,177.090881,3702.059082,1343.575317,196.879257,3660.158936,1325.971313,119.212692,3805.026123,1341.744995,132.164307
15,3530.8479,1071.306152,-226.375626,3562.803467,1053.501221,-179.940613,3468.712891,1063.950317,-105.769722,3537.45166,1040.532471,-289.535034,3586.345459,1053.784424,-69.835327,3521.44873,1043.639526,-152.092819,3812.912109,1668.505615,228.927673,3898.520752,1642.621338,146.478271,3894.756104,1559.517334,177.088135,3702.071289,1343.554199,196.864853,3660.17334,1325.955566,119.203178,3805.036377,1341.734253,132.152954
16,3530.86084,1071.501099,-226.303146,3562.821777,1053.514282,-179.87999,3468.698975,1064.02002,-105.661179,3537.357422,1040.548096,-289.595398,3586.362549,1053.786743,-69.831818,3521.459473,1043.633911,-152.12178,3812.931885,1668.482178,228.922455,3898.5271,1642.608154,146.475586,3894.849854,1559.552979,177.182098,3702.071045,1343.550415,196.848465,3660.177979,1325.93811,119.193871,3805.044922,1341.719971,132.158966
