Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
0,3501.87915,1066.254272,-124.652214,3571.601807,1036.425293,-188.003555,3548.193359,1055.588013,-232.005417,3536.953857,1038.378906,-287.795837,3521.375732,1042.52356,-151.125458,3586.452148,1052.480957,-68.335869,3813.954346,1666.572632,230.43512,3899.961426,1640.745728,148.239182,3896.080078,1557.814941,178.899216,3701.663086,1342.278687,198.437881,3660.36084,1324.074463,120.89238,3805.036621,1340.147705,133.386353
1,3501.880371,1066.24646,-124.685501,3571.528564,1036.326782,-188.257431,3548.2229,1055.625,-232.026215,3537.001953,1038.42688,-287.702545,3521.385498,1042.514282,-151.137863,3586.442383,1052.454712,-68.336517,3813.948975,1666.581665,230.434555,3899.955811,1640.749268,148.221725,3896.060303,1557.803589,178.896271,3701.601074,1342.165771,198.373764,3660.36377,1324.061035,120.871864,3805.068604,1340.159668,133.381821
2,3501.87915,1066.260132,-124.703247,3571.533936,1036.320068,-188.282333,3548.169434,1055.634888,-232.01564,3537.007568,1038.421143,-287.701385,3521.37085,1042.482788,-151.120926,3586.47583,1052.482178,-68.373077,3813.960205,1666.581177,230.422668,3899.968018,1640.752563,148.214966,3896.094727,1557.813354,178.886246,3701.577393,1342.133667,198.294388,3660.373535,1324.055176,120.884705,3805.082031,1340.158203,133.358063
3,3501.887207,1066.27356,-124.709808,3571.556396,1036.342773,-188.381027,3548.252686,1055.659424,-232.069168,3537.018311,1038.401489,-287.700684,3521.381592,1042.443848,-151.151535,3586.492432,1052.457275,-68.377602,3813.971191,1666.585938,230.416245,3899.976074,1640.74939,148.211807,3896.100342,1557.814575,178.863434,3701.525391,1342.141235,198.222504,3660.355225,1324.037842,120.879051,3805.097168,1340.146484,133.354919
4,3501.907471,1066.294922,-124.717064,3571.678223,1036.480225,-188.155075,3548.296631,1055.696289,-232.087372,3536.947998,1038.351196,-287.790497,3521.286133,1042.249634,-151.192062,3586.533691,1052.450195,-68.374939,3813.958008,1666.586792,230.418396,3899.995117,1640.759766,148.210831,3896.118896,1557.802124,178.857819,3701.567871,1342.114746,198.220901,3660.356445,1324.030396,120.871681,3805.101318,1340.148438,133.340088
5,3501.884033,1066.289917,-124.738029,3571.790283,1036.308594,-188.303436,3548.317383,1055.724365,-232.100281,3536.94043,1038.3479,-287.785492,3521.362061,1042.348877,-151.173782,3586.536133,1052.451294,-68.382294,3813.963867,1666.580566,230.398193,3899.993896,1640.762451,148.204086,3896.132568,1557.804199,178.859879,3701.569824,1342.089844,198.242447,3660.357422,1324.010132,120.867081,3805.123047,1340.131226,133.336517
6,3501.907471,1066.306519,-124.728836,3571.854492,1036.265991,-188.339218,3548.340088,1055.737793,-232.105942,3537.018066,1038.393677,-287.701721,3521.363525,1042.371582,-151.153397,3586.544189,1052.447998,-68.388016,3813.980469,1666.57019,230.395325,3900.005127,1640.761963,148.200348,3896.138428,1557.794678,178.859818,3701.566895,1342.07605,198.241043,3660.36084,1323.98877,120.867584,3805.137939,1340.130981,133.31488
7,3501.912842,1066.299805,-124.748756,3571.950928,1036.403564,-188.093628,3548.354248,1055.752075,-232.107407,3537.011963,1038.383545,-287.697601,3521.268555,1042.190186,-151.213333,3586.529053,1052.439575,-68.372826,3813.982422,1666.580566,230.387802,3900.008789,1640.757324,148.195786,3896.148926,1557.767944,178.865662,3701.615723,1342.106079,198.197098,3660.364014,1323.978638,120.857712,3805.138184,1340.118164,133.316422
8,3501.917236,1066.300659,-124.758163,3571.844238,1036.34436,-188.343857,3548.357422,1055.741699,-232.109802,3537.027588,1038.374878,-287.699036,3521.350342,1042.300171,-151.202148,3586.536133,1052.441406,-68.377716,3813.989014,1666.578247,230.391861,3900.02124,1640.757324,148.187012,3896.148926,1557.761108,178.859924,3701.523193,1342.078003,198.156281,3660.347656,1323.981812,120.849113,3805.131104,1340.103149,133.313705
9,3501.920166,1066.309937,-124.736771,3571.935791,1036.443359,-188.017426,3548.377686,1055.758179,-232.114548,3537.022461,1038.389282,-287.693512,3521.36084,1042.34375,-151.177887,3586.544678,1052.44519,-68.369492,3813.97998,1666.564819,230.380508,3900.017334,1640.760132,148.192093,3896.198486,1557.760864,178.796188,3701.557617,1342.097534,198.110458,3660.355957,1323.967773,120.865028,3805.151367,1340.091309,133.304718
