Frame,left_001_X,left_001_Y,left_001_Z,left_002_X,left_002_Y,left_002_Z,left_003_X,left_003_Y,left_003_Z,volume_001_X,volume_001_Y,volume_001_Z,volume_002_X,volume_002_Y,volume_002_Z,volume_003_X,volume_003_Y,volume_003_Z,webcam_001_X,webcam_001_Y,webcam_001_Z,webcam_002_X,webcam_002_Y,webcam_002_Z,webcam_003_X,webcam_003_Y,webcam_003_Z,zed_volume_001_X,zed_volume_001_Y,zed_volume_001_Z,zed_volume_002_X,zed_volume_002_Y,zed_volume_002_Z,zed_volume_003_X,zed_volume_003_Y,zed_volume_003_Z
0,3572.138428,1051.124023,-174.872681,3546.994629,1068.008545,-226.649582,3481.297852,1062.966064,-110.49884,3587.062988,1052.969238,-67.896423,3521.492676,1042.02832,-150.967804,3537.37085,1038.429321,-287.386505,3813.285156,1666.69104,230.395248,3898.792969,1641.006348,147.858322,3895.312988,1558.32251,178.621414,3701.447754,1342.064453,198.273193,3660.276123,1324.216309,121.27565,3805.070801,1340.680054,133.581406
1,3572.144775,1051.129761,-174.867142,3547.040527,1068.020264,-226.626511,3481.307373,1062.964111,-110.50338,3587.051514,1052.979736,-67.906693,3521.505127,1042.023315,-150.964981,3537.391846,1038.427246,-287.389801,3813.283447,1666.688232,230.402817,3898.839111,1641.033691,147.857574,3895.310303,1558.354126,178.628632,3701.452148,1342.051758,198.260269,3660.263184,1324.250977,121.276344,3805.082275,1340.690308,133.554474
2,3572.12085,1051.128174,-174.879562,3547.058105,1068.031616,-226.592407,3481.304199,1062.985229,-110.492455,3587.012939,1052.977661,-67.87532,3521.533447,1042.056519,-150.962463,3537.395508,1038.43103,-287.40274,3813.286865,1666.692261,230.421173,3898.80249,1641.016846,147.891724,3895.287354,1558.368408,178.632889,3701.451904,1342.072876,198.251099,3660.275879,1324.263794,121.283508,3805.10083,1340.703247,133.562469
3,3572.088867,1051.11792,-174.837753,3547.072754,1068.020386,-226.561188,3481.351562,1062.988281,-110.485504,3587.013428,1053.013306,-67.890038,3521.541016,1042.06189,-150.937195,3537.383545,1038.43811,-287.397308,3813.279297,1666.707642,230.455597,3898.792725,1641.016479,147.908829,3895.308594,1558.378418,178.663864,3701.486084,1342.099854,198.254288,3660.266113,1324.287231,121.299248,3805.121582,1340.715332,133.566071
4,3572.071289,1051.096313,-174.827301,3547.118896,1068.030762,-226.536865,3481.346924,1062.97168,-110.452957,3586.988037,1053.000854,-67.889793,3521.551758,1042.080933,-150.915115,3537.428467,1038.428833,-287.380707,3813.290283,1666.719727,230.468323,3898.788818,1641.026489,147.919098,3895.287598,1558.392822,178.694519,3701.476074,1342.108765,198.281006,3660.2771,1324.316528,121.264725,3805.13501,1340.747803,133.549561
5,3572.056396,1051.085571,-174.828964,3547.132568,1068.018555,-226.472122,3481.374512,1062.956909,-110.454735,3586.977539,1053.004883,-67.879547,3521.792725,1041.848633,-150.815567,3537.44873,1038.417969,-287.386169,3813.296631,1666.719971,230.490982,3898.795166,1641.023071,147.931747,3895.317139,1558.385742,178.661469,3701.506836,1342.123901,198.281769,3660.279053,1324.342773,121.276871,3805.153809,1340.761719,133.545105
6,3572.043457,1051.08313,-174.810883,3547.165527,1068.028442,-226.454788,3481.408203,1062.946655,-110.479095,3586.989014,1053.023804,-67.902504,3521.823486,1041.837036,-150.83252,3537.646973,1038.405762,-287.501648,3813.282471,1666.707886,230.499222,3898.797607,1641.019165,147.93071,3895.149414,1558.371948,178.680511,3701.464111,1342.105591,198.339798,3660.298828,1324.364746,121.235008,3805.185791,1340.791748,133.537704
7,3572.046143,1051.090576,-174.785751,3547.156982,1068.011475,-226.435883,3481.424316,1062.932983,-110.437462,3586.976318,1053.01001,-67.894646,3521.815186,1041.860962,-150.815933,3537.507324,1038.4021,-287.38089,3813.287598,1666.695923,230.526031,3898.79248,1641.010864,147.944092,3895.188965,1558.411011,178.653397,3701.450684,1342.111328,198.413147,3660.302002,1324.396729,121.228889,3805.193359,1340.80603,133.53476
8,3572.030273,1051.058105,-174.779373,3547.12793,1067.998291,-226.424744,3481.43335,1062.914551,-110.423347,3586.99707,1053.004883,-67.881516,3521.842285,1041.877808,-150.79509,3537.69751,1038.414062,-287.489838,3813.289307,1666.697388,230.542282,3898.78418,1640.99939,147.942886,3895.298584,1558.414429,178.705109,3701.463867,1342.135742,198.464691,3660.303955,1324.426025,121.232422,3805.220215,1340.801514,133.547684
9,3572.030762,1051.041748,-174.739517,3547.167725,1067.979614,-226.375351,3481.447021,1062.88623,-110.448967,3586.988037,1053.001099,-67.884117,3521.705566,1042.105225,-150.948883,3537.508789,1038.399902,-287.392731,3813.307861,1666.69751,230.554077,3898.791504,1640.992188,147.941406,3895.162842,1558.344604,178.671921,3701.531738,1342.115601,198.523163,3660.315918,1324.450562,121.227707,3805.227051,1340.813354,133.532059
